127.0.0.1, 2016-03-10 18:43:38, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.022000
127.0.0.1, 2016-03-10 18:43:38, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.027000
127.0.0.1, 2016-03-10 18:43:55, GET, /welcome/default/get_messages, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-03-10 18:44:05, GET, /welcome/default/initialize_default_data, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-03-10 18:44:12, GET, /welcome/default/get_messages, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-03-10 18:44:18, GET, /welcome/default/user, HTTP/1.1, 303, 0.015000
127.0.0.1, 2016-03-10 18:44:18, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-03-10 18:44:29, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.022000
127.0.0.1, 2016-03-10 18:44:29, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.029000
127.0.0.1, 2016-03-10 18:45:24, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.022000
127.0.0.1, 2016-03-10 18:45:24, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.039000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
01000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:03, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 19:48:04, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:04, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:48:04, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:50:56, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2016-03-10 19:50:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2016-03-10 19:51:03, GET, /welcome/default/user, HTTP/1.1, 303, 0.027000
127.0.0.1, 2016-03-10 19:51:03, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.037000
127.0.0.1, 2016-03-10 19:51:33, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.032000
127.0.0.1, 2016-03-10 19:51:33, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-03-10 19:58:24, GET, /welcome/default/user/login, HTTP/1.1, 500, 0.066000
127.0.0.1, 2016-03-10 19:58:26, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.19-58-24.6a0e5471-0fb3-49b7-9202-58671fe24012, HTTP/1.1, 303, 0.008000
127.0.0.1, 2016-03-10 19:58:26, GET, /admin/default/index, HTTP/1.1, 200, 0.033000
127.0.0.1, 2016-03-10 19:58:29, POST, /admin/default/index, HTTP/1.1, 303, 0.034000
127.0.0.1, 2016-03-10 19:58:29, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.19-58-24.6a0e5471-0fb3-49b7-9202-58671fe24012, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.059000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 19:59:01, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:33, GET, /welcome/default/user/login, HTTP/1.1, 500, 0.037000
127.0.0.1, 2016-03-10 20:00:35, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.20-00-33.9bd07cae-c28e-4177-bb16-bb9ba9b16d90, HTTP/1.1, 200, 0.059000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:58, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:00:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:00:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002000
000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:16, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.030000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:54, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-03-10 20:01:56, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
